ts,Unnamed: 0,open,high,low,close,volume
2025-08-10 01:00:00,0.0,116685.7,116685.8,116537.9,116574.5,0.25899101
2025-08-10 02:00:00,1.0,116580.0,117315.4,116576.5,117315.4,21.61329971
2025-08-10 03:00:00,2.0,117316.5,118454.6,117316.5,118399.9,4.52141277
2025-08-10 04:00:00,3.0,118402.0,118688.1,118402.0,118467.9,2.6340576
2025-08-10 05:00:00,4.0,118506.2,118506.2,117953.3,117953.3,0.90989712
2025-08-10 06:00:00,5.0,118115.7,118161.6,117350.1,118046.9,27.83692131
2025-08-10 07:00:00,6.0,118047.0,118200.0,117515.9,117798.9,0.79380679
2025-08-10 08:00:00,7.0,117776.1,118343.1,117693.9,118293.5,1.42969913
2025-08-10 09:00:00,8.0,118335.7,118367.3,118138.0,118329.2,5.72465179
2025-08-10 10:00:00,9.0,118283.7,118283.7,118047.1,118047.1,1.69385442
2025-08-10 11:00:00,10.0,118047.1,118401.9,117940.8,118379.9,59.61755145
2025-08-10 12:00:00,11.0,118379.8,118710.3,118342.2,118520.1,0.27531545
2025-08-10 13:00:00,12.0,118520.1,118665.6,118402.0,118520.0,1.36791203
2025-08-10 14:00:00,13.0,118520.0,118750.9,118402.1,118750.9,7.65153166
2025-08-10 15:00:00,14.0,118750.8,119000.8,118557.6,118782.6,2.05073561
2025-08-10 16:00:00,15.0,118806.4,118876.0,118686.9,118687.0,0.49061536
2025-08-10 17:00:00,16.0,118700.3,118700.3,118465.8,118501.9,0.60934111
2025-08-10 18:00:00,17.0,118488.4,118551.7,118450.7,118531.9,36.33571737
2025-08-10 19:00:00,18.0,118540.9,118695.3,118484.8,118648.9,32.51991472
2025-08-10 20:00:00,19.0,118640.2,118693.4,118131.2,118358.9,2.120022
2025-08-10 21:00:00,20.0,118283.0,118637.9,118154.5,118637.9,0.78013926
2025-08-10 22:00:00,21.0,118638.0,118938.6,118638.0,118938.6,13.87203542
2025-08-10 23:00:00,22.0,118995.0,119282.1,118795.0,119273.2,5.53104412
2025-08-11 00:00:00,23.0,119287.3,119394.4,119169.1,119178.8,0.78155948
2025-08-11 01:00:00,24.0,119170.9,119951.4,118995.0,119931.2,20.00854262
2025-08-11 02:00:00,25.0,119931.2,121846.5,119885.5,121761.9,41.37630377
2025-08-11 03:00:00,26.0,121849.0,122107.3,121537.0,121762.0,9.97666701
2025-08-11 04:00:00,27.0,121762.1,122110.5,121640.2,122057.3,20.11018489
2025-08-11 05:00:00,28.0,122052.1,122238.4,121800.4,121962.3,3.97805954
2025-08-11 06:00:00,29.0,122006.0,122228.5,121949.9,122203.8,1.18173016
2025-08-11 07:00:00,30.0,122203.8,122203.8,121460.8,121511.5,2.28504418
2025-08-11 08:00:00,31.0,121511.5,121762.0,121091.4,121658.1,17.37697446
2025-08-11 09:00:00,32.0,121658.1,121658.2,121099.1,121360.5,10.65228482
2025-08-11 10:00:00,33.0,121394.3,121397.0,120846.2,121175.4,5.84578439
2025-08-11 11:00:00,34.0,121155.0,121163.4,120328.8,120538.0,2.93733883
2025-08-11 12:00:00,35.0,120583.3,120639.6,119540.3,119633.0,8.74943083
2025-08-11 13:00:00,36.0,119642.2,120290.8,119450.0,120014.8,3.11586997
2025-08-11 14:00:00,37.0,120002.9,120568.9,119845.8,120217.9,3.66440034
2025-08-11 15:00:00,38.0,120180.2,120392.1,119842.3,120284.2,3.7597294
2025-08-11 16:00:00,39.0,120279.3,120811.7,119916.2,120006.9,2.93227907
2025-08-11 17:00:00,40.0,119998.3,120138.5,119525.0,119525.1,1.50226533
